ranking,dist_class,size_class,dist,size,status,taxon,state,user_category,user_login,taxon_species_name,taxon_group,latitude,longitude,size_scaled,dist_scaled,log_dist,growth
1,wide,medium,19,20,LC,Aves,Río Negro,expert,santiagomailhos,Porphyriops melanops,tetrapods,-32.5564589492,-58.0421496636,-0.33530125815374395,0.4292554344470148,2.9444389791664403,NA
1,wide,small,19,17,LC,Aves,Río Negro,expert,santiagomailhos,Chrysomus ruficapillus,tetrapods,-32.5556528493,-58.0405053772,-0.3840664439597191,0.4292554344470148,2.9444389791664403,NA
1,wide,medium,19,33,LC,Aves,Río Negro,expert,santiagomailhos,Gallinula galeata,tetrapods,-32.5564697446,-58.0419361509,-0.12398545299451814,0.4292554344470148,2.9444389791664403,NA
1,medium,medium,13,40,LC,Aves,Río Negro,expert,santiagomailhos,Rynchops niger,tetrapods,-32.5565047158,-58.0409069419,-0.01020001944724271,-0.9131305990737163,2.5649493574615367,NA
1,wide,medium,19,23,LC,Aves,Río Negro,expert,santiagomailhos,Sternula superciliaris,tetrapods,-32.5562493271,-58.0414937296,-0.28653607234776873,0.4292554344470148,2.9444389791664403,NA
1,wide,small,19,17,LC,Aves,Río Negro,expert,santiagomailhos,Leistes superciliaris,tetrapods,-32.5400157438,-58.046739864,-0.3840664439597191,0.4292554344470148,2.9444389791664403,NA
1,wide,small,19,17,LC,Aves,Río Negro,expert,santiagomailhos,Leistes superciliaris,tetrapods,-32.5448921872,-58.0504024012,-0.3840664439597191,0.4292554344470148,2.9444389791664403,NA
1,wide,medium,19,48,LC,Aves,Río Negro,expert,santiagomailhos,Syrigma sibilatrix,tetrapods,-32.5281461304,-58.0409431496,0.11984047603535779,0.4292554344470148,2.9444389791664403,NA
23,wide,medium,19,34,LC,Aves,Cerro Largo,intermediate,gabriellaufer,Anas flavirostris,tetrapods,-31.8762383333,-54.1661416667,-0.10773039105919308,0.4292554344470148,2.9444389791664403,NA
685,wide,large,19,150,LC,Reptilia,Maldonado,beginner,fernando_doce_dupin,Philodryas patagoniensis,tetrapods,-34.5541569347,-55.2393940408,1.777856793438514,0.4292554344470148,2.9444389791664403,NA
45,wide,medium,19,27,LC,Aves,San José,intermediate,gonzalo227,Colaptes campestris,tetrapods,-34.3307428337,-56.7245662585,-0.22151582460646851,0.4292554344470148,2.9444389791664403,NA
298,wide,large,19,150,NE,Reptilia,Rocha,beginner,elias2633,Bothrops alternatus,tetrapods,-34.718482,-54.3988269722,1.777856793438514,0.4292554344470148,2.9444389791664403,NA
2,wide,medium,19,33,LC,Aves,Cerro Largo,expert,luisvescia,Patagioenas maculosa,tetrapods,-32.3661519544,-54.1885828972,-0.12398545299451814,0.4292554344470148,2.9444389791664403,NA
2,wide,small,19,18,LC,Aves,Cerro Largo,expert,luisvescia,Lepidocolaptes angustirostris,tetrapods,-32.3661519544,-54.1885828972,-0.36781138202439406,0.4292554344470148,2.9444389791664403,NA
